PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26448551","Examining the Impact of the National Institutes of Health Public Access Policy on the Citation Rates of Journal Articles","De Groote SL, Shultz M, Smalheiser NR.","PLoS One. 2015 Oct 8;10(10):e0139951. doi: 10.1371/journal.pone.0139951. eCollection 2015.","De Groote SL","PLoS One","2015","2015/10/09","PMC4598137","","10.1371/journal.pone.0139951"
"21935487","Using noun phrases for navigating biomedical literature on Pubmed: how many updates are we losing track of?","Srikrishna D, Coram MA.","PLoS One. 2011;6(9):e24920. doi: 10.1371/journal.pone.0024920. Epub 2011 Sep 14.","Srikrishna D","PLoS One","2011","2011/09/22","PMC3173492","","10.1371/journal.pone.0024920"
"27570340","Contribution of Indian Psychiatrists to PubMed Listed Mental Health Literature During 1995-2013: an Exploratory Study","Mohandoss AA, Thavarajah R.","Indian J Psychol Med. 2016 Jul-Aug;38(4):302-8. doi: 10.4103/0253-7176.185945.","Mohandoss AA","Indian J Psychol Med","2016","2016/08/30","PMC4980896","","10.4103/0253-7176.185945"
"36946755","Searching and Evaluating Publications and Preprints Using Europe PMC","Rosonovski S, Levchenko M, Ide-Smith M, Faulk L, Harrison M, McEntyre J.","Curr Protoc. 2023 Mar;3(3):e694. doi: 10.1002/cpz1.694.","Rosonovski S","Curr Protoc","2023","2023/03/22","PMC7614751","EMS177449","10.1002/cpz1.694"
"39399145","The environments of the radio galaxy population in simba","Thomas N, Davé R.","Mon Not R Astron Soc. 2022 Aug 6;515(4):5539-5555. doi: 10.1093/mnras/stac2175. eCollection 2022 Oct.","Thomas N","Mon Not R Astron Soc","2022","2024/10/14","PMC11465021","","10.1093/mnras/stac2175"
"41229664","PubMed Central: offering a trove of historical medical journals","Reznick JS, Funk K, Randall L, Taylor KR, Chan K, Adams E.","J Med Libr Assoc. 2025 Oct 23;113(4):383-386. doi: 10.5195/jmla.2025.2235.","Reznick JS","J Med Libr Assoc","2025","2025/11/13","PMC12604060","","10.5195/jmla.2025.2235"
"38110415","A large-scale dataset of patient summaries for retrieval-based clinical decision support systems","Zhao Z, Jin Q, Chen F, Peng T, Yu S.","Sci Data. 2023 Dec 18;10(1):909. doi: 10.1038/s41597-023-02814-8.","Zhao Z","Sci Data","2023","2023/12/18","PMC10728216","","10.1038/s41597-023-02814-8"
"31602479","Database resources of the National Center for Biotechnology Information","Sayers EW, Beck J, Brister JR, Bolton EE, Canese K, Comeau DC, Funk K, Ketter A, Kim S, Kimchi A, Kitts PA, Kuznetsov A, Lathrop S, Lu Z, McGarvey K, Madden TL, Murphy TD, O'Leary N, Phan L, Schneider VA, Thibaud-Nissen F, Trawick BW, Pruitt KD, Ostell J.","Nucleic Acids Res. 2020 Jan 8;48(D1):D9-D16. doi: 10.1093/nar/gkz899.","Sayers EW","Nucleic Acids Res","2020","2019/10/12","PMC6943063","","10.1093/nar/gkz899"
"36338335","MedGraph: A semantic biomedical information retrieval framework using knowledge graph embedding for PubMed","Ebeid IA.","Front Big Data. 2022 Oct 19;5:965619. doi: 10.3389/fdata.2022.965619. eCollection 2022.","Ebeid IA","Front Big Data","2022","2022/11/07","PMC9627348","","10.3389/fdata.2022.965619"
"15931367","Do you have NIH funding? Then read this","Neill US, Kosht K.","J Clin Invest. 2005 Jun;115(6):1392. doi: 10.1172/JCI25545.","Neill US","J Clin Invest","2005","2005/06/03","PMC1137025","","10.1172/JCI25545"
"33031632","Commentary to Gusenbauer and Haddaway 2020: Evaluating retrieval qualities of Google Scholar and PubMed","Klopfenstein DV, Dampier W.","Res Synth Methods. 2021 Mar;12(2):126-135. doi: 10.1002/jrsm.1456. Epub 2020 Oct 8.","Klopfenstein DV","Res Synth Methods","2021","2020/10/08","PMC7984402","","10.1002/jrsm.1456"
"38572754","PubTator 3.0: an AI-powered literature resource for unlocking biomedical knowledge","Wei CH, Allot A, Lai PT, Leaman R, Tian S, Luo L, Jin Q, Wang Z, Chen Q, Lu Z.","Nucleic Acids Res. 2024 Jul 5;52(W1):W540-W546. doi: 10.1093/nar/gkae235.","Wei CH","Nucleic Acids Res","2024","2024/04/04","PMC11223843","","10.1093/nar/gkae235"
"24627707","Biochemia Medica indexed in PubMed Central (PMC)","Simundic AM.","Biochem Med (Zagreb). 2014 Feb 15;24(1):5. doi: 10.11613/BM.2014.000. eCollection 2014.","Simundic AM","Biochem Med (Zagreb)","2014","2014/03/15","PMC3936975","","10.11613/BM.2014.000"
"35503296","The Colombian Journal of Obstetrics and Gynecology Enters Into PubMed Central® (PMC)","Gaitán-Duarte H, Grillo-Ardila CF, Rubio-Romero JA.","Rev Colomb Obstet Ginecol. 2022 Mar 30;73(1):7-10. doi: 10.18597/rcog.3862.","Gaitán-Duarte H","Rev Colomb Obstet Ginecol","2022","2022/05/03","PMC9097684","","10.18597/rcog.3862"
"24499370","Mining locus tags in PubMed Central to improve microbial gene annotation","Stubben CJ, Challacombe JF.","BMC Bioinformatics. 2014 Feb 5;15:43. doi: 10.1186/1471-2105-15-43.","Stubben CJ","BMC Bioinformatics","2014","2014/02/07","PMC3937057","","10.1186/1471-2105-15-43"
"37107700","PMIDigest: Interactive Review of Large Collections of PubMed Entries to Distill Relevant Information","Novoa J, Chagoyen M, Benito C, Moreno FJ, Pazos F.","Genes (Basel). 2023 Apr 19;14(4):942. doi: 10.3390/genes14040942.","Novoa J","Genes (Basel)","2023","2023/04/28","PMC10137743","","10.3390/genes14040942"
"30271285","Publishing trends of journals with manuscripts in PubMed Central: changes from 2008-2009 to 2015-2016","Topper L, Boehr D.","J Med Libr Assoc. 2018 Oct;106(4):445-454. doi: 10.5195/jmla.2018.457. Epub 2018 Oct 1.","Topper L","J Med Libr Assoc","2018","2018/10/02","PMC6148616","","10.5195/jmla.2018.457"
"31114887","PubTator central: automated concept annotation for biomedical full text articles","Wei CH, Allot A, Leaman R, Lu Z.","Nucleic Acids Res. 2019 Jul 2;47(W1):W587-W593. doi: 10.1093/nar/gkz389.","Wei CH","Nucleic Acids Res","2019","2019/05/23","PMC6602571","","10.1093/nar/gkz389"
"30715220","PMC text mining subset in BioC: about three million full-text articles and growing","Comeau DC, Wei CH, Islamaj Doğan R, Lu Z.","Bioinformatics. 2019 Sep 15;35(18):3533-3535. doi: 10.1093/bioinformatics/btz070.","Comeau DC","Bioinformatics","2019","2019/02/05","PMC6748740","","10.1093/bioinformatics/btz070"
"34920127","Word embeddings trained on published case reports are lightweight, effective for clinical tasks, and free of protected health information","Flamholz ZN, Crane-Droesch A, Ungar LH, Weissman GE.","J Biomed Inform. 2022 Jan;125:103971. doi: 10.1016/j.jbi.2021.103971. Epub 2021 Dec 14.","Flamholz ZN","J Biomed Inform","2022","2021/12/17","PMC8766939","NIHMS1765734","10.1016/j.jbi.2021.103971"
"32850121","Open Access of COVID-19-related publications in the first quarter of 2020: a preliminary study based in PubMed","Arrizabalaga O, Otaegui D, Vergara I, Arrizabalaga J, Méndez E.","F1000Res. 2020 Jun 26;9:649. doi: 10.12688/f1000research.24136.2. eCollection 2020.","Arrizabalaga O","F1000Res","2020","2020/08/29","PMC7438966","","10.12688/f1000research.24136.2"
"41234473","Sometimes the apple does fall far from the tree: a case study on automatic indexing precision errors in PubMed","Wilson P.","J Med Libr Assoc. 2025 Oct 23;113(4):318-326. doi: 10.5195/jmla.2025.2110.","Wilson P","J Med Libr Assoc","2025","2025/11/14","PMC12606386","","10.5195/jmla.2025.2110"
"41953588","Outcome and safety of SBRT in centrally and ultra-centrally located lung tumours: A PRISMA-based systematic review and Meta-Analysis","Wiegreffe S, Adebahr S, Schimek-Jasch T, Layer JP, Dejonckheere CS, Sarria GR, Scafa D, Nour Y, Caglayan L, Baltas D, Moustakis C, Henrik Nicolay N, Rimner A, Grosu AL, Nestle U, Gkika E.","Clin Transl Radiat Oncol. 2026 Mar 21;59:101151. doi: 10.1016/j.ctro.2026.101151. eCollection 2026 Jul.","Wiegreffe S","Clin Transl Radiat Oncol","2026","2026/04/09","PMC13053848","","10.1016/j.ctro.2026.101151"
"33180112","Europe PMC in 2020","Ferguson C, Araújo D, Faulk L, Gou Y, Hamelers A, Huang Z, Ide-Smith M, Levchenko M, Marinos N, Nambiar R, Nassar M, Parkin M, Pi X, Rahman F, Rogers F, Roochun Y, Saha S, Selim M, Shafique Z, Sharma S, Stephenson D, Talo' F, Thouvenin A, Tirunagari S, Vartak V, Venkatesan A, Yang X, McEntyre J.","Nucleic Acids Res. 2021 Jan 8;49(D1):D1507-D1514. doi: 10.1093/nar/gkaa994.","Ferguson C","Nucleic Acids Res","2021","2020/11/12","PMC7778976","","10.1093/nar/gkaa994"
"38235175","Dataset of clinical cases, images, image labels and captions from open access case reports from PubMed Central (1990-2023)","Nievas Offidani MA, Delrieux CA.","Data Brief. 2023 Dec 23;52:110008. doi: 10.1016/j.dib.2023.110008. eCollection 2024 Feb.","Nievas Offidani MA","Data Brief","2023","2024/01/18","PMC10792687","","10.1016/j.dib.2023.110008"
"21325301","Annotating genes and genomes with DNA sequences extracted from biomedical articles","Haeussler M, Gerner M, Bergman CM.","Bioinformatics. 2011 Apr 1;27(7):980-6. doi: 10.1093/bioinformatics/btr043. Epub 2011 Feb 16.","Haeussler M","Bioinformatics","2011","2011/02/18","PMC3065681","","10.1093/bioinformatics/btr043"
"39280699","Neuropathology and neuroinflammation in Alzheimer's disease via bidirectional lung-brain axis","Lu J, Li CJ, Wang J, Wang Y.","Front Aging Neurosci. 2024 Aug 30;16:1449575. doi: 10.3389/fnagi.2024.1449575. eCollection 2024.","Lu J","Front Aging Neurosci","2024","2024/09/16","PMC11392776","","10.3389/fnagi.2024.1449575"
"42038189","Perception of Altered Smile Esthetics by Orthodontists, General Dentists, and Laypeople :","Niknam O, Shahi S, Narimisaei J, Mousaei Emami M.","Galen Med J. 2025 Nov 8;14(S Pt 1):e3947. doi: 10.31661/gmj.vi.3947. eCollection 2025.","Niknam O","Galen Med J","2025","2026/04/27","PMC12894816","","10.31661/gmj.vi.3947"
"22140104","Database resources of the National Center for Biotechnology Information","Sayers EW, Barrett T, Benson DA, Bolton E, Bryant SH, Canese K, Chetvernin V, Church DM, Dicuccio M, Federhen S, Feolo M, Fingerman IM, Geer LY, Helmberg W, Kapustin Y, Krasnov S, Landsman D, Lipman DJ, Lu Z, Madden TL, Madej T, Maglott DR, Marchler-Bauer A, Miller V, Karsch-Mizrachi I, Ostell J, Panchenko A, Phan L, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Slotta D, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Wang Y, Wilbur WJ, Yaschenko E, Ye J.","Nucleic Acids Res. 2012 Jan;40(Database issue):D13-25. doi: 10.1093/nar/gkr1184. Epub 2011 Dec 2.","Sayers EW","Nucleic Acids Res","2012","2011/12/06","PMC3245031","","10.1093/nar/gkr1184"
"39561364","Added Value of Medical Subject Headings Terms in Search Strategies of Systematic Reviews: Comparative Study","Leblanc V, Hamroun A, Bentegeac R, Le Guellec B, Lenain R, Chazard E.","J Med Internet Res. 2024 Nov 19;26:e53781. doi: 10.2196/53781.","Leblanc V","J Med Internet Res","2024","2024/11/19","PMC11615561","","10.2196/53781"
"26615191","Database resources of the National Center for Biotechnology Information","NCBI Resource Coordinators.","Nucleic Acids Res. 2016 Jan 4;44(D1):D7-19. doi: 10.1093/nar/gkv1290. Epub 2015 Nov 28.","NCBI Resource Coordinators","Nucleic Acids Res","2016","2015/11/29","PMC4702911","","10.1093/nar/gkv1290"
"23537461","Using cited references to improve the retrieval of related biomedical documents","Ortuño FM, Rojas I, Andrade-Navarro MA, Fontaine JF.","BMC Bioinformatics. 2013 Mar 27;14:113. doi: 10.1186/1471-2105-14-113.","Ortuño FM","BMC Bioinformatics","2013","2013/03/30","PMC3618341","","10.1186/1471-2105-14-113"
"25398906","Database resources of the National Center for Biotechnology Information","NCBI Resource Coordinators.","Nucleic Acids Res. 2015 Jan;43(Database issue):D6-17. doi: 10.1093/nar/gku1130. Epub 2014 Nov 14.","NCBI Resource Coordinators","Nucleic Acids Res","2015","2014/11/16","PMC4383943","","10.1093/nar/gku1130"
"21097890","Database resources of the National Center for Biotechnology Information","Sayers EW, Barrett T, Benson DA, Bolton E, Bryant SH, Canese K, Chetvernin V, Church DM, DiCuccio M, Federhen S, Feolo M, Fingerman IM, Geer LY, Helmberg W, Kapustin Y, Landsman D, Lipman DJ, Lu Z, Madden TL, Madej T, Maglott DR, Marchler-Bauer A, Miller V, Mizrachi I, Ostell J, Panchenko A, Phan L, Pruitt KD, Schuler GD, Sequeira E, Sherry ST, Shumway M, Sirotkin K, Slotta D, Souvorov A, Starchenko G, Tatusova TA, Wagner L, Wang Y, Wilbur WJ, Yaschenko E, Ye J.","Nucleic Acids Res. 2011 Jan;39(Database issue):D38-51. doi: 10.1093/nar/gkq1172. Epub 2010 Nov 21.","Sayers EW","Nucleic Acids Res","2011","2010/11/25","PMC3013733","","10.1093/nar/gkq1172"
"29083299","Towards PubMed 2.0","Fiorini N, Lipman DJ, Lu Z.","Elife. 2017 Oct 30;6:e28801. doi: 10.7554/eLife.28801.","Fiorini N","Elife","2017","2017/10/31","PMC5662282","","10.7554/eLife.28801"
"40432119","Vaccine Research Trends in Africa from 2016 to Mid-2024: A Bibliometric Analysis","Iwu-Jaja C, Ndwandwe D, Malinga T, Mathebula L, Mazingisa A, Wiysonge CS.","Vaccines (Basel). 2025 May 12;13(5):509. doi: 10.3390/vaccines13050509.","Iwu-Jaja C","Vaccines (Basel)","2025","2025/05/28","PMC12115655","","10.3390/vaccines13050509"
"24788259","Accessing biomedical literature in the current information landscape","Khare R, Leaman R, Lu Z.","Methods Mol Biol. 2014;1159:11-31. doi: 10.1007/978-1-4939-0709-0_2.","Khare R","Methods Mol Biol","2014","2014/05/03","PMC4593617","NIHMS722717","10.1007/978-1-4939-0709-0_2"
"36561178","Phase 1 of the National Institutes of Health Preprint Pilot: Testing the viability of making preprints discoverable in PubMed Central and PubMed","Funk K, Zayas-Cabán T, Beck J.","bioRxiv [Preprint]. 2024 Jan 18:2022.12.12.520156. doi: 10.1101/2022.12.12.520156.","Funk K","bioRxiv","2024","2022/12/23","PMC9774216","","10.1101/2022.12.12.520156"
"39070469","Challenges and Elements Hindering the Adoption of Enhanced Recovery After Surgery (ERAS) Protocols in Colorectal Surgery and Their Resolutions: A Systematic Review","Ayinde BO, Chokshi P, Adhikari S, Jaimalani A, Yeritsyan A, Surve AV, Khan S.","Cureus. 2024 Jun 26;16(6):e63222. doi: 10.7759/cureus.63222. eCollection 2024 Jun.","Ayinde BO","Cureus","2024","2024/07/29","PMC11280001","","10.7759/cureus.63222"
"31593127","Choropleth map legend design for visualizing the most influential areas in article citation disparities: A bibliometric study","Chien TW, Wang HY, Hsu CF, Kuo SC.","Medicine (Baltimore). 2019 Oct;98(41):e17527. doi: 10.1097/MD.0000000000017527.","Chien TW","Medicine (Baltimore)","2019","2019/10/09","PMC6799475","","10.1097/MD.0000000000017527"
"39169321","VAIV bio-discovery service using transformer model and retrieval augmented generation","Kim S, Yoon J.","BMC Bioinformatics. 2024 Aug 21;25(1):273. doi: 10.1186/s12859-024-05903-6.","Kim S","BMC Bioinformatics","2024","2024/08/21","PMC11340140","","10.1186/s12859-024-05903-6"
"29523070","Textpresso Central: a customizable platform for searching, text mining, viewing, and curating biomedical literature","Müller HM, Van Auken KM, Li Y, Sternberg PW.","BMC Bioinformatics. 2018 Mar 9;19(1):94. doi: 10.1186/s12859-018-2103-8.","Müller HM","BMC Bioinformatics","2018","2018/03/11","PMC5845379","","10.1186/s12859-018-2103-8"
"35795547","Antidepressant Active Ingredients From Chinese Traditional Herb Panax Notoginseng: A Pharmacological Mechanism Review","Li Y, Guo Q, Huang J, Wang Z.","Front Pharmacol. 2022 Jun 16;13:922337. doi: 10.3389/fphar.2022.922337. eCollection 2022.","Li Y","Front Pharmacol","2022","2022/07/07","PMC9252462","","10.3389/fphar.2022.922337"
"34622189","PCOS and nutritional approaches: Differences between lean and obese phenotype","Barrea L, Frias-Toral E, Verde L, Ceriani F, Cucalón G, Garcia-Velasquez E, Moretti D, Savastano S, Colao A, Muscogiuri G.","Metabol Open. 2021 Sep 13;12:100123. doi: 10.1016/j.metop.2021.100123. eCollection 2021 Dec.","Barrea L","Metabol Open","2021","2021/10/08","PMC8479825","","10.1016/j.metop.2021.100123"
"31651878","Whether article types of a scholarly journal are different in cited metrics using cluster analysis of MeSH terms to display: A bibliometric analysis","Chien TW, Wang HY, Kan WC, Su SB.","Medicine (Baltimore). 2019 Oct;98(43):e17631. doi: 10.1097/MD.0000000000017631.","Chien TW","Medicine (Baltimore)","2019","2019/10/26","PMC6824745","","10.1097/MD.0000000000017631"
"30181150","How predatory journals leak into PubMed","Manca A, Moher D, Cugusi L, Dvir Z, Deriu F.","CMAJ. 2018 Sep 4;190(35):E1042-E1045. doi: 10.1503/cmaj.180154.","Manca A","CMAJ","2018","2018/09/06","PMC6148641","","10.1503/cmaj.180154"
"34591941","How the scientific community responded to the COVID-19 pandemic: A subject-level time-trend bibliometric analysis","Malekpour MR, Abbasi-Kangevari M, Azadnajafabad S, Ghamari SH, Rezaei N, Rezazadeh-Khadem S, Rezaei N, Aminorroaya A, Abdolhamidi E, Mohammadi Fateh S, Haghshenas R, Roshani S, Ahmadi N, Jamshidi K, Naderimagham S, Farzadfar F.","PLoS One. 2021 Sep 30;16(9):e0258064. doi: 10.1371/journal.pone.0258064. eCollection 2021.","Malekpour MR","PLoS One","2021","2021/09/30","PMC8483337","","10.1371/journal.pone.0258064"
"41767187","COFACTOR-residential: Hourly electricity and heating data from residential buildings in Norway","Sørensen ÅL, Lien SK, Walnum HT.","Data Brief. 2026 Feb 12;65:112580. doi: 10.1016/j.dib.2026.112580. eCollection 2026 Apr.","Sørensen ÅL","Data Brief","2026","2026/03/02","PMC12938154","","10.1016/j.dib.2026.112580"
"34850941","Database resources of the national center for biotechnology information","Sayers EW, Bolton EE, Brister JR, Canese K, Chan J, Comeau DC, Connor R, Funk K, Kelly C, Kim S, Madej T, Marchler-Bauer A, Lanczycki C, Lathrop S, Lu Z, Thibaud-Nissen F, Murphy T, Phan L, Skripchenko Y, Tse T, Wang J, Williams R, Trawick BW, Pruitt KD, Sherry ST.","Nucleic Acids Res. 2022 Jan 7;50(D1):D20-D26. doi: 10.1093/nar/gkab1112.","Sayers EW","Nucleic Acids Res","2022","2021/12/01","PMC8728269","","10.1093/nar/gkab1112"
"25378340","Europe PMC: a full-text literature database for the life sciences and platform for innovation","Europe PMC Consortium.","Nucleic Acids Res. 2015 Jan;43(Database issue):D1042-8. doi: 10.1093/nar/gku1061. Epub 2014 Nov 6.","Europe PMC Consortium","Nucleic Acids Res","2015","2014/11/08","PMC4383902","","10.1093/nar/gku1061"
"33622416","Using Kano diagrams to display the most cited article types, affiliated countries, authors and MeSH terms on spinal surgery in recent 12 years","Chou PH, Yeh YT, Kan WC, Chien TW, Kuo SC.","Eur J Med Res. 2021 Feb 23;26(1):22. doi: 10.1186/s40001-021-00494-x.","Chou PH","Eur J Med Res","2021","2021/02/24","PMC7903694","","10.1186/s40001-021-00494-x"
"41385079","Database resources of the National Center for Biotechnology Information in 2026","Sayers EW, Bolton EE, Fine AM, Kelly C, Kim S, Landrum M, Lathrop S, Malheiro A, Murphy TD, Phan L, Pujar S, Trawick BW, Schneider VA, Pruitt KD.","Nucleic Acids Res. 2026 Jan 6;54(D1):D20-D27. doi: 10.1093/nar/gkaf1060.","Sayers EW","Nucleic Acids Res","2026","2025/12/12","PMC12807769","","10.1093/nar/gkaf1060"
"35139089","The impact of the COVID-19 pandemic on scientific research in the life sciences","Riccaboni M, Verginer L.","PLoS One. 2022 Feb 9;17(2):e0263001. doi: 10.1371/journal.pone.0263001. eCollection 2022.","Riccaboni M","PLoS One","2022","2022/02/09","PMC8827464","","10.1371/journal.pone.0263001"
"16888660","The National Institutes of Health (NIH) Policy on Enhancing Public Access: tracking institutional contribution rates","Kroth PJ, Aspinall EE, Phillips HE.","J Med Libr Assoc. 2006 Jul;94(3):279-83.","Kroth PJ","J Med Libr Assoc","2006","2006/08/05","PMC1525307","",""
"34037702","SimText: a text mining framework for interactive analysis and visualization of similarities among biomedical entities","Macnee M, Pérez-Palma E, Schumacher-Bass S, Dalton J, Leu C, Blankenberg D, Lal D.","Bioinformatics. 2021 Nov 18;37(22):4285-4287. doi: 10.1093/bioinformatics/btab365.","Macnee M","Bioinformatics","2021","2021/05/26","PMC9502138","","10.1093/bioinformatics/btab365"
"27331905","A Survey of Bioinformatics Database and Software Usage through Mining the Literature","Duck G, Nenadic G, Filannino M, Brass A, Robertson DL, Stevens R.","PLoS One. 2016 Jun 22;11(6):e0157989. doi: 10.1371/journal.pone.0157989. eCollection 2016.","Duck G","PLoS One","2016","2016/06/23","PMC4917176","","10.1371/journal.pone.0157989"
"40530195","Suicidal Ideation and Suicide Completion in Benzodiazepine Users: A Systematic Review of Current Evidence","Khan SM, Kasagga A, Verma A, Saraya E, Haque MS, Senaratne M, Khan S.","Cureus. 2025 May 18;17(5):e84318. doi: 10.7759/cureus.84318. eCollection 2025 May.","Khan SM","Cureus","2025","2025/06/18","PMC12171941","","10.7759/cureus.84318"
"33646360","[Methods of SARS-CoV-2 detection in tissue]","von Stillfried S, Boor P.","Pathologe. 2021 Mar;42(2):208-215. doi: 10.1007/s00292-021-00919-8. Epub 2021 Mar 1.","von Stillfried S","Pathologe","2021","2021/03/01","PMC7919251","","10.1007/s00292-021-00919-8"
"39138540","DNA methylation markers for oral cancer detection in non- and minimally invasive samples: a systematic review","Rapado-González Ó, Salta S, López-López R, Henrique R, Suárez-Cunqueiro MM, Jerónimo C.","Clin Epigenetics. 2024 Aug 13;16(1):105. doi: 10.1186/s13148-024-01716-9.","Rapado-González Ó","Clin Epigenetics","2024","2024/08/13","PMC11323632","","10.1186/s13148-024-01716-9"
"33095870","Database resources of the National Center for Biotechnology Information","Sayers EW, Beck J, Bolton EE, Bourexis D, Brister JR, Canese K, Comeau DC, Funk K, Kim S, Klimke W, Marchler-Bauer A, Landrum M, Lathrop S, Lu Z, Madden TL, O'Leary N, Phan L, Rangwala SH, Schneider VA, Skripchenko Y, Wang J, Ye J, Trawick BW, Pruitt KD, Sherry ST.","Nucleic Acids Res. 2021 Jan 8;49(D1):D10-D17. doi: 10.1093/nar/gkaa892.","Sayers EW","Nucleic Acids Res","2021","2020/10/23","PMC7778943","","10.1093/nar/gkaa892"
